Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
550.9413305,-3246.290590532754,64698
550.9307115,-3246.6404400545584,64781
550.9200925,-3246.9903030630794,64762
550.9094735,-3247.340179559099,64602
550.8988545,-3247.690069543396,64658
550.8882355,-3248.039973016753,64773
550.8776165,-3248.389889979942,64691
550.8669975,-3248.7398204337546,64702
550.8563785,-3249.089764378967,64674
550.8457595,-3249.4397218163563,64667
550.8351405,-3249.789692746706,64743
550.8245215,-3250.139677170795,64667
550.8139025,-3250.4896750894004,64758
550.8032835,-3250.8396865033083,64719
550.7926645,-3251.1897114133,64831
550.7820455,-3251.5397498201514,64834
550.7714265,-3251.889801724646,64869
550.7608075,-3252.239867127559,64831
550.7501885,-3252.5899460296805,64678
550.7395695,-3252.9400384317846,64510
550.7289505,-3253.2901443346555,64858
550.7183315,-3253.6402637390747,64716
550.7077125,-3253.9903966458182,64829
550.6970935,-3254.3405430556686,64598
550.6864745,-3254.6907029694135,64683
550.6758555,-3255.0408763878263,64688
550.6652365,-3255.391063311695,64512
550.6546175,-3255.7412637417947,64679
550.6439985,-3256.0914776789095,64719
550.6333795,-3256.441705123817,64793
550.6227605,-3256.791946077307,64565
550.6121415,-3257.1422005401555,64636
550.6015225,-3257.4924685131473,64585
550.5909035,-3257.8427499970594,64649
550.5802845,-3258.193044992678,64651
550.5696655,-3258.543353500778,64607
550.5590465,-3258.8936755221503,64609
550.5484275,-3259.2440110575735,64700
550.5378085,-3259.5943601078284,64689
550.5271895,-3259.9447226736975,64764
550.5165705,-3260.295098755962,64526
550.5059515,-3260.645488355402,64733
550.4953325,-3260.995891472807,64685
550.4847135,-3261.3463081089553,64793
550.4740945,-3261.696738264628,64688
550.4634755,-3262.0471819406093,64701
550.4528565,-3262.3976391376764,64692
550.4422375,-3262.748109856622,64710
550.4316185,-3263.0985940982205,64787
550.4209995,-3263.4490918632596,64682
550.4103805,-3263.799603152517,64542
550.3997615,-3264.1501279667805,64629
550.3891425,-3264.5006663068257,64753
550.3785235,-3264.8512181734422,64653
550.3679045,-3265.2017835674133,64670
550.3572855,-3265.552362489519,64631
550.3466665,-3265.9029549405423,64532
550.3360475,-3266.2535609212678,64546
550.3254285,-3266.6041804324745,64767
550.3148095,-3266.954813474954,64674
550.3041905,-3267.305460049484,64629
550.2935715,-3267.656120156848,64704
550.2829525,-3268.00679379783,64628
550.2723335,-3268.3574809732145,64645
550.2617145,-3268.7081816837804,64580
550.2510955,-3269.05889593032,64616
550.2404765,-3269.4096237136096,64623
550.2298575,-3269.760365034438,64710
550.2192385,-3270.111119893584,64767
550.2086195,-3270.461888291833,64590
550.1980005,-3270.8126702299714,64621
550.1873815,-3271.1634657087825,64810
550.1767625,-3271.514274729049,64686
550.1661435,-3271.8650972915575,64570
550.1555245,-3272.215933397089,64790
550.1449055,-3272.5667830464245,64554
