Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
523.8669438669439,-248.97407382715957,60034
523.8544698544698,-249.42861635708982,59971
523.8419958419959,-249.8831805346495,60019
523.8295218295218,-250.33776636138907,60056
523.8170478170479,-250.79237383885018,59997
523.8045738045738,-251.24700296858546,59986
523.7920997920997,-251.7016537521388,59972
523.7796257796258,-252.15632619105412,59960
523.7671517671517,-252.61102028688612,60027
523.7546777546778,-253.06573604117224,60006
523.7422037422037,-253.52047345547157,59974
523.7297297297297,-253.97523253132582,60071
523.7172557172557,-254.43001327027892,59904
523.7047817047817,-254.88481567388556,59975
523.6923076923077,-255.33963974368754,60008
523.6798336798337,-255.79448548124174,59941
523.6673596673596,-256.24935288809206,60061
523.6548856548857,-256.7042419657803,59905
523.6424116424116,-257.1591527158676,60037
523.6299376299377,-257.6140851398914,59926
523.6174636174636,-258.0690392394087,60076
523.6049896049896,-258.5240150159676,59889
523.5925155925156,-258.9790124711121,60054
523.5800415800416,-259.43403160639696,60100
523.5675675675676,-259.8890724233682,59985
523.5550935550935,-260.34413492358055,59986
523.5426195426195,-260.7992191085802,59970
523.5301455301455,-261.254324979913,59989
523.5176715176715,-261.70945253914044,60059
523.5051975051975,-262.16460178779977,60015
523.4927234927235,-262.6197727274523,60041
523.4802494802494,-263.0749653596462,60003
523.4677754677755,-263.5301796859234,60032
523.4553014553014,-263.98541570784704,60048
523.4428274428275,-264.44067342695905,60029
523.4303534303534,-264.89595284481845,60049
523.4178794178794,-265.35125396297354,59902
523.4054054054054,-265.8065767829703,60008
523.3929313929314,-266.26192130636787,59873
523.3804573804574,-266.7172875347123,60012
523.3679833679834,-267.17267546956265,60039
523.3555093555094,-267.6280851124629,59975
523.3430353430354,-268.08351646497204,60011
523.3305613305613,-268.53896952864056,60025
523.3180873180874,-268.9944443050145,60096
523.3056133056133,-269.4499407956594,60084
523.2931392931393,-269.90545900211276,60022
523.2806652806653,-270.3609989259423,60004
523.2681912681912,-270.816560568694,60049
523.2557172557173,-271.2721439319184,60093
523.2432432432432,-271.7277490171745,60103
523.2307692307693,-272.18337582601055,60102
523.2182952182952,-272.63902435998784,60055
523.2058212058212,-273.0946946206546,60003
523.1933471933472,-273.55038660956336,60086
523.1808731808732,-274.0061003282733,60058
523.1683991683992,-274.4618357783347,60090
523.1559251559252,-274.9175929613046,60091
523.1434511434511,-275.3733718787398,60141
523.1309771309772,-275.8291725321865,60092
523.1185031185031,-276.28499492320793,60159
523.1060291060292,-276.7408390533547,60111
523.0935550935551,-277.19670492418584,60185
523.081081081081,-277.652592537256,60193
523.0686070686071,-278.1085018941135,60091
523.056133056133,-278.56443299632394,60098
523.0436590436591,-279.0203858454355,60182
523.031185031185,-279.4763604430117,60252
523.018711018711,-279.93235679060496,60144
523.006237006237,-280.3883748897658,60149
522.993762993763,-280.8444147420598,60165
522.981288981289,-281.3004763490374,60137
522.968814968815,-281.7565597122598,60154
522.9563409563409,-282.21266483328174,60171
522.943866943867,-282.6687917136558,60097
522.9313929313929,-283.1249403549498,60088
522.918918918919,-283.58111075870755,60132
522.9064449064449,-284.03730292649897,60218
