Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
700.6227605,631.446211320952,60417
700.6121415,631.2298788455529,60527
700.6015225,631.0135398122615,60379
700.5909035,630.7971942207786,60447
700.5802845,630.5808420708092,60430
700.5696655,630.3644833620543,60491
700.5590465,630.1481180942125,60463
700.5484275,629.9317462669864,60526
700.5378085,629.7153678800813,60504
700.5271895,629.4989829331936,60436
700.5165705,629.2825914260306,60386
700.5059515,629.0661933582909,60468
700.4953325,628.8497887296752,60407
700.4847135,628.6333775398865,60443
700.4740945,628.4169597886277,60462
700.4634755,628.2005354755972,60495
700.4528565,627.9841046005004,60506
700.4422375,627.7676671630358,60457
700.4316185,627.551223162904,60469
700.4209995,627.3347725998103,60444
700.4103805,627.1183154734532,60430
700.3997615,626.9018517835357,60510
700.3891425,626.6853815297605,60409
700.3785235,626.4689047118244,60424
700.3679045,626.2524213294344,60421
700.3572855,626.0359313822869,60456
700.3466665,625.8194348700871,60397
700.3360475,625.6029317925336,60424
700.3254285,625.3864221493315,60480
700.3148095,625.1699059401772,60382
700.3041905,624.9533831647757,60444
700.2935715,624.7368538228278,60441
700.2829525,624.5203179140323,60335
700.2723335,624.303775438094,60505
700.2617145,624.0872263947117,60421
700.2510955,623.8706707835883,60470
700.2404765,623.6541086044223,60484
700.2298575,623.4375398569167,60439
700.2192385,623.2209645407722,60443
700.2086195,623.0043826556939,60425
700.1980005,622.7877942013762,60498
700.1873815,622.571199177524,60508
700.1767625,622.3545975838382,60430
700.1661435,622.1379894200195,60403
700.1555245,621.9213746857664,60474
700.1449055,621.7047533807864,60439
700.1342865,621.4881255047758,60435
700.1236675,621.2714910574352,60556
700.1130485,621.0548500384656,60542
700.1024295,620.8382024475699,60424
700.0918105,620.6215482844486,60549
700.0811915,620.404887548805,60483
700.0705725,620.1882202403332,60380
700.0599535,619.9715463587404,60526
700.0493345,619.7548659037252,60558
700.0387155,619.5381788749862,60443
700.0280965,619.3214852722285,60440
700.0174775,619.104785095153,60422
700.0068585,618.8880783434582,60363
699.9962395,618.6713650168426,60446
699.9856205,618.4546451150092,60422
699.9750015,618.237918637661,64955
699.9643825,618.0211855844985,101566
699.9537635,617.8044459552185,68230
699.9431445,617.5876997495237,63792
699.9325255,617.370946967117,63298
699.9219065,617.154187607695,73339
699.9112875,616.9374216709605,60960
699.9006685,616.7206491566163,64007
699.8900495,616.5038700643591,62991
699.8794305,616.2870843938917,60506
699.8688115,616.0702921449148,60393
699.8581925,615.8534933171271,60473
699.8475735,615.6366879102294,60458
699.8369545,615.4198759239266,60515
699.8263355,615.203057357913,60410
699.8157165,614.9862322118918,60519
699.8050975,614.7694004855655,60501
699.7944785,614.5525621786309,60479
699.7838595,614.3357172907886,60410
699.7732405,614.1188658217458,60439
699.7626215,613.9020077711925,60408
699.7520025,613.685143138836,60505
699.7413835,613.4682719243748,60505
699.7307645,613.2513941275075,60467
699.7201455,613.0345097479371,60473
699.7095265,612.8176187853666,60482
699.6989075,612.6007212394878,60476
699.6882885,612.3838171100083,60506
699.6776695,612.1669063966243,60511
699.6670505,611.9499890990367,60562
699.6564315,611.7330652169505,60493
699.6458125,611.5161347500577,60556
699.6351935,611.2991976980659,60549
699.6245745,611.082254060669,60447
699.6139555,610.8653038375722,60552
699.6033365,610.648347028472,60486
699.5927175,610.4313836330734,60374
699.5820985,610.2144136510708,60370
699.5714795,609.997437082167,60425
699.5608605,609.7804539260607,60476
699.5502415,609.5634641824524,60367
699.5396225,609.3464678510433,60412
699.5290035,609.129464931536,60442
699.5183845,608.9124554236247,60476
699.5077655,608.6954393270104,60361
699.4971465,608.4784166413958,60447
699.4865275,608.2613873664776,60498
699.4759085,608.0443515019584,60380
699.4652895,607.8273090475415,60405
699.4546705,607.6102600029166,60353
699.4440515,607.393204367793,60442
699.4334325,607.1761421418652,60459
699.4228135,606.9590733248339,60392
699.4121945,606.7419979164041,60385
699.4015755,606.5249159162679,60362
699.3909565,606.3078273241284,60411
699.3803375,606.0907321396841,60380
699.3697185,605.8736303626378,60423
699.3590995,605.6565219926861,60489
699.3484805,605.439407029534,60378
699.3378615,605.2222854728714,60368
699.3272425,605.0051573224056,60404
699.3166235,604.7880225778352,60453
699.3060045,604.5708812388566,60473
699.2953855,604.3537333051728,60548
699.2847665,604.1365787764845,60445
699.2741475,603.9194176524882,60457
699.2635285,603.7022499328823,60415
699.2529095,603.4850756173678,60504
699.2422905,603.2678947056453,60401
699.2316715,603.0507071974134,60380
699.2210525,602.833513092373,60506
699.2104335,602.6163123902224,60495
699.1998145,602.3991050906584,60484
699.1891955,602.1818911933836,60501
699.1785765,601.9646706980968,60439
699.1679575,601.7474436044987,60493
699.1573385,601.5302099122857,60455
699.1467195,601.3129696211587,60490
699.1361005,601.0957227308181,60395
699.1254815,600.8784692409607,60406
699.1148625,600.6612091512872,60481
699.1042435,600.4439424614982,60445
699.0936245,600.2266691712902,60534
699.0830055,600.0093892803617,60459
699.0723865,599.7921027884158,60430
699.0617675,599.5748096951489,60534
699.0511485,599.3575100002616,60356
699.0405295,599.1402037034549,60527
699.0299105,598.9228908044229,60327
699.0192915,598.7055713028684,60563
699.0086725,598.4882451984881,60398
698.9980535,598.2709124909826,60519
698.9874345,598.0535731800506,60440
698.9768155,597.8362272653949,60528
698.9661965,597.6188747467077,60415
698.9555775,597.4015156236918,60409
698.9449585,597.1841498960437,60430
698.9343395,596.9667775634663,60558
698.9237205,596.7493986256561,60463
698.9131015,596.5320130823137,60460
698.9024825,596.3146209331358,60445
698.8918635,596.0972221778208,60413
698.8812445,595.8798168160694,60433
698.8706255,595.6624048475802,60412
698.8600065,595.4449862720563,60351
698.8493875,595.2275610891875,60371
698.8387685,595.0101292986768,60460
698.8281495,594.7926909002249,60359
698.8175305,594.5752458935282,60509
698.8069115,594.3577942782874,60458
698.7962925,594.1403360542014,60420
698.7856735,593.9228712209641,60424
698.7750545,593.7053997782807,60425
698.7644355,593.4879217258456,60529
698.7538165,593.2704370633572,60439
698.7431975,593.0529457905163,60427
698.7325785,592.835447907026,60383
698.7219595,592.6179434125739,60480
698.7113405,592.4004323068673,60310
698.7007215,592.1829145896004,60466
698.6901025,591.965390260474,60541
698.6794835,591.7478593191845,60485
698.6688645,591.5303217654349,60419
698.6582455,591.3127775989194,60447
698.6476265,591.0952268193365,60395
698.6370075,590.8776694263872,60430
698.6263885,590.6601054197678,60381
698.6157695,590.4425347991789,60406
698.6051505,590.2249575643172,60518
698.5945315,590.007373714879,60445
698.5839125,589.7897832505671,60403
698.5732935,589.5721861710759,60464
698.5626745,589.3545824761062,60428
698.5520555,589.1369721653588,60462
698.5414365,588.9193552385254,60373
698.5308175,588.7017316953095,60427
698.5201985,588.484101535407,60422
698.5095795,588.2664647585148,60394
698.4989605,588.0488213643354,60350
698.4883415,587.8311713525654,60497
698.4777225,587.6135147229013,60375
698.4671035,587.3958514750416,60409
698.4564845,587.178181608685,60431
698.4458655,586.9605051235299,60374
698.4352465,586.7428220192729,60476
698.4246275,586.5251322956168,60431
698.4140085,586.3074359522537,60406
698.4033895,586.0897329888845,60484
698.3927705,585.8720234052078,60443
698.3821515,585.6543072009176,60403
698.3715325,585.4365843757171,60503
698.3609135,585.2188549293046,60457
698.3502945,585.0011188613724,60422
698.3396755,584.7833761716236,60458
