U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19511.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19512.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19513.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19514.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19515.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19516.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19517.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19518.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19519.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19520.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19521.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19522.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19523.9 
