U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.5 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.8 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.9 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.0 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.1 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.2 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.3 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.4 
300,0V;201,1V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.5 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.6 
300,0V;201,1V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.7 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6512.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CV;None;6513.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6513.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.1 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.7 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.8 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6514.9 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.4 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6515.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.6 
