U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.1 
15,0V;14,9V;0,500A;0,009A;100W;0W;N/A;N/A;N/A;On;CV;None;10.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.9 
15,0V;15,0V;0,500A;0,006A;100W;0W;N/A;N/A;N/A;On;CV;None;11.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.6 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.7 
15,0V;14,9V;0,500A;0,007A;100W;0W;N/A;N/A;N/A;On;CV;None;11.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.9 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.1 
15,0V;15,0V;0,500A;0,008A;100W;0W;N/A;N/A;N/A;On;CV;None;12.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.9 
15,0V;15,0V;0,500A;0,006A;100W;0W;N/A;N/A;N/A;On;CV;None;13.0 
15,0V;15,0V;0,500A;0,007A;100W;0W;N/A;N/A;N/A;On;CV;None;13.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.7 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.4 
15,0V;14,9V;0,500A;0,010A;100W;0W;N/A;N/A;N/A;On;CV;None;15.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.6 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.7 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.9 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.7 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.9 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.0 
15,0V;14,9V;0,500A;0,008A;100W;0W;N/A;N/A;N/A;On;CV;None;21.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.0 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.1 
15,0V;15,0V;0,500A;0,007A;100W;0W;N/A;N/A;N/A;On;CV;None;22.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.9 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.3 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.4 
15,0V;15,0V;0,500A;0,008A;100W;0W;N/A;N/A;N/A;On;CV;None;23.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.6 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.7 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.0 
15,0V;10,3V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.1 
15,0V;3,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.2 
15,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.3 
15,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.4 
15,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.5 
15,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;24.6 
20,0V;19,8V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.7 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.8 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.9 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.0 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.1 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.2 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.3 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.4 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.5 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.6 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.7 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.8 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.9 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.0 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.1 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.2 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.3 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.4 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.5 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.6 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.7 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.8 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.9 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;27.0 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;27.1 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;27.2 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;27.3 
20,0V;19,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;27.4 
