U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.1 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.2 
50.0V;23.2V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.3 
50.0V;23.2V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.4 
50.0V;23.2V;0.150A;0.154A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.5 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.6 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.7 
50.0V;23.2V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.8 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.9 
50.0V;23.2V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.0 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.1 
50.0V;23.2V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.2 
50.0V;23.2V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.3 
50.0V;23.2V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.4 
50.0V;23.2V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.5 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.6 
50.0V;23.2V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.7 
50.0V;23.2V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.8 
50.0V;23.2V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13009.9 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.0 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.1 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.2 
50.0V;23.3V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.3 
50.0V;23.3V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.4 
50.0V;23.3V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.5 
50.0V;23.3V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.6 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.7 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.8 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13010.9 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13011.0 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13011.1 
