U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.8 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.0 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.2 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.3 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.4 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.5 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.6 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.8 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13020.9 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.0 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.1 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.2 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.3 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.4 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.5 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.6 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.7 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.8 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13021.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.0 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.2 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.3 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.4 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.5 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.6 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.8 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13022.9 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.0 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.1 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.2 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.3 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.4 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.5 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.6 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.7 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.8 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13023.9 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.0 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.2 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.3 
50.0V;8.6V;0.300A;0.298A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.4 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.5 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.6 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.7 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.8 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13024.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.0 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.1 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.2 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.3 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.4 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.5 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.6 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.7 
50.0V;8.6V;0.300A;0.298A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.8 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13025.9 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13026.0 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13026.1 
