U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.1 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.2 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.3 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.4 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.5 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.6 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.7 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.8 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.9 
75.0V;23.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;11.0 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.1 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.2 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;11.3 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.4 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.5 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.6 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.7 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.8 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;11.9 
75.0V;23.7V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;12.0 
75.0V;23.7V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;12.1 
75.0V;23.7V;0.142A;0.146A;100W;3W;N/A;N/A;N/A;On;CC;None;12.2 
75.0V;23.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;12.3 
75.0V;23.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;12.4 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;12.5 
75.0V;23.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;12.6 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;12.7 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;12.8 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;12.9 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.0 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.1 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.2 
75.0V;23.6V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;13.3 
75.0V;23.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;13.4 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.5 
