U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
110.0V;34.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;10.9 
110.0V;34.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;11.0 
110.0V;34.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.1 
110.0V;34.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.2 
110.0V;34.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.3 
110.0V;34.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.4 
110.0V;34.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;11.5 
110.0V;34.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.6 
110.0V;34.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;11.7 
110.0V;34.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.8 
110.0V;34.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;11.9 
110.0V;34.6V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;12.0 
110.0V;34.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;12.1 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.2 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.3 
110.0V;34.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;12.4 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.5 
110.0V;34.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;12.6 
110.0V;34.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.7 
110.0V;34.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.8 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;12.9 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.0 
110.0V;34.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.1 
110.0V;34.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.2 
110.0V;34.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;13.3 
110.0V;34.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.4 
110.0V;34.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.5 
110.0V;34.3V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.6 
110.0V;34.3V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;13.7 
110.0V;34.3V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;13.8 
110.0V;34.3V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;13.9 
110.0V;34.2V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;14.0 
110.0V;34.2V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;14.1 
110.0V;34.2V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;14.2 
110.0V;34.2V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;14.3 
110.0V;34.2V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;14.4 
110.0V;34.2V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;14.5 
110.0V;34.1V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;14.6 
110.0V;34.1V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;14.7 
110.0V;34.1V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;14.8 
110.0V;34.1V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;14.9 
110.0V;34.1V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;15.0 
110.0V;34.1V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;15.1 
110.0V;34.1V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;15.2 
110.0V;34.1V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;15.3 
110.0V;34.0V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;15.4 
110.0V;34.0V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;15.5 
110.0V;34.0V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;15.6 
110.0V;34.0V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;15.7 
110.0V;34.0V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;15.8 
110.0V;34.0V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;15.9 
110.0V;33.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.0 
110.0V;33.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.1 
110.0V;33.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.2 
110.0V;33.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;16.3 
110.0V;33.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.4 
110.0V;33.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;16.5 
110.0V;33.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;16.6 
110.0V;33.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.7 
110.0V;33.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.8 
110.0V;33.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;16.9 
110.0V;33.8V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;17.0 
110.0V;33.8V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;17.1 
110.0V;33.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;17.2 
110.0V;33.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;17.3 
110.0V;33.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;17.4 
110.0V;33.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;17.5 
110.0V;33.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;17.6 
110.0V;33.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;17.7 
110.0V;33.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;17.8 
110.0V;33.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;17.9 
110.0V;33.7V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;18.0 
110.0V;33.7V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;18.1 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;18.2 
110.0V;33.6V;0.185A;0.188A;100W;6W;N/A;N/A;N/A;On;CC;None;18.3 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;18.4 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;18.5 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;18.6 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;18.7 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;18.8 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;18.9 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;19.0 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;19.1 
110.0V;33.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;19.2 
110.0V;33.5V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;19.3 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;19.4 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;19.5 
110.0V;33.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;19.6 
110.0V;33.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;19.7 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;19.8 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;19.9 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;20.0 
110.0V;33.5V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;20.1 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;20.2 
110.0V;33.6V;0.185A;0.188A;100W;6W;N/A;N/A;N/A;On;CC;None;20.3 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;20.4 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;20.5 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;20.6 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;20.7 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;20.8 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;20.9 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.0 
110.0V;33.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;21.1 
110.0V;33.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;21.2 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.3 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.4 
110.0V;33.5V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.5 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.6 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;21.7 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;21.8 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;21.9 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;22.0 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;22.1 
