Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
676.8139025,129.35218766323143,59842
676.8032835,129.12036713409344,59756
676.7926645,128.88853933034272,59834
676.7820455,128.65670425163879,59751
676.7714265,128.42486189763468,59854
676.7608075,128.1930122679943,59760
676.7501885,127.96115536237076,59763
676.7395695,127.72929118042138,59733
676.7289505,127.49741972180361,59856
676.7183315,127.26554098617697,59828
676.7077125,127.03365497319669,59758
676.6970935,126.80176168252451,59856
676.6864745,126.56986111381349,59874
676.6758555,126.337953266721,59718
676.6652365,126.10603814090446,59740
676.6546175,125.87411573602341,59782
676.6439985,125.64218605173308,59797
676.6333795,125.41024908769302,59789
676.6227605,125.17830484355848,59815
676.6121415,124.94635331898682,59866
676.6015225,124.71439451363547,59755
676.5909035,124.48242842716178,59846
676.5802845,124.25045505922317,59856
676.5696655,124.0184744094792,59794
676.5590465,123.78648647758074,59755
676.5484275,123.55449126318953,59825
676.5378085,123.32248876596296,59808
676.5271895,123.09047898555409,59791
676.5165705,122.85846192162464,59732
676.5059515,122.62643757383202,59817
676.4953325,122.39440594182709,59706
676.4847135,122.16236702527159,59765
676.4740945,121.93032082382076,59756
676.4634755,121.69826733713198,59785
676.4528565,121.4662065648648,59860
676.4422375,121.2341385066723,59858
676.4316185,121.00206316221184,59848
676.4209995,120.76998053114299,59802
676.4103805,120.53789061311883,59775
676.3997615,120.3057934077989,59853
676.3891425,120.07368891484059,59693
676.3785235,119.84157713389696,59804
676.3679045,119.60945806462759,59742
676.3572855,119.37733170668983,59746
676.3466665,119.14519805973677,59808
676.3360475,118.91305712343012,59761
676.3254285,118.68090889742295,59691
676.3148095,118.44875338137264,59871
676.3041905,118.21659057493659,59755
676.2935715,117.98442047776786,59899
676.2829525,117.75224308952815,59841
676.2723335,117.52005840987272,59846
676.2617145,117.28786643845677,59783
676.2510955,117.05566717493771,59820
676.2404765,116.82346061896858,59794
676.2298575,116.59124677021113,59818
676.2192385,116.35902562831838,59745
676.2086195,116.12679719294992,59854
676.1980005,115.89456146375663,59850
676.1873815,115.66231844040023,59800
676.1767625,115.43006812253378,59862
676.1661435,115.19781050981469,59796
676.1555245,114.96554560190032,59738
676.1449055,114.73327339844809,59804
676.1342865,114.50099389910886,59791
676.1236675,114.26870710354439,59766
676.1130485,114.03641301140772,59753
676.1024295,113.80411162235623,59732
676.0918105,113.57180293604516,59886
676.0811915,113.33948695213405,59837
676.0705725,113.10716367027382,59813
676.0599535,112.87483309012401,59840
676.0493345,112.64249521133985,59823
676.0387155,112.41015003357873,59762
676.0280965,112.1777975564937,59855
676.0174775,111.94543777974432,59840
676.0068585,111.71307070298366,59809
675.9962395,111.4806963258691,59825
675.9856205,111.24831464805587,59790
675.9750015,111.01592566919918,59844
675.9643825,110.7835293889586,59791
675.9537635,110.55112580698719,59885
675.9431445,110.31871492294017,59771
675.9325255,110.08629673647276,59910
675.9219065,109.85387124724453,59787
675.9112875,109.62143845490851,59869
675.9006685,109.3889983591243,59805
675.8900495,109.15655095954058,59824
