Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
523.0475205,-278.87923871936295,60001
523.0369015,-279.2673981504663,59985
523.0262825,-279.6555733431696,59975
523.0156635,-280.04376429842904,60012
523.0050445,-280.4319710172009,59984
522.9944255,-280.82019350045675,59944
522.9838065,-281.20843174915274,59958
522.9731875,-281.59668576424514,59972
522.9625685,-281.9849555466989,59993
522.9519495,-282.3732410974704,60013
522.9413305,-282.76154241752005,59947
522.9307115,-283.1498595078151,59987
522.9200925,-283.53819236931173,59967
522.9094735,-283.9265410029706,59894
522.8988545,-284.3149054097523,59920
522.8882355,-284.7032855906196,59963
522.8776165,-285.0916815465288,59965
522.8669975,-285.48009327844903,60029
522.8563785,-285.86852078733676,60022
522.8457595,-286.2569640741546,60046
522.8351405,-286.6454231398611,60064
522.8245215,-287.03389798542116,59985
522.8139025,-287.422388611791,60009
522.8032835,-287.81089501994,60086
522.7926645,-288.1994172108265,60017
522.7820455,-288.5879551854111,59954
522.7714265,-288.97650894465664,59972
522.7608075,-289.3650784895193,60019
522.7501885,-289.75366382097064,60051
522.7395695,-290.14226493996904,59981
522.7289505,-290.5308818474772,59973
522.7183315,-290.9195145444558,60034
522.7077125,-291.30816303186543,59906
522.6970935,-291.6968273106689,60004
522.6864745,-292.0855073818332,60041
522.6758555,-292.4742032463191,60010
522.6652365,-292.8629149050871,59971
522.6546175,-293.2516423591021,59966
522.6439985,-293.640385609327,60010
522.6333795,-294.02914465671574,59988
522.6227605,-294.41791950224643,60003
522.6121415,-294.80671014687306,59982
522.6015225,-295.1955165915606,59994
522.5909035,-295.58433883727184,59954
522.5802845,-295.9731768849695,59977
522.5696655,-296.36203073561427,59876
522.5590465,-296.75090039017533,59960
522.5484275,-297.1397858496155,60004
522.5378085,-297.5286871148954,60014
522.5271895,-297.91760418697993,60004
522.5165705,-298.3065370668319,60019
522.5059515,-298.6954857554119,60072
522.4953325,-299.08445025369133,59925
522.4847135,-299.47343056263304,59944
522.4740945,-299.8624266831954,60035
522.4634755,-300.25143861634774,60007
522.4528565,-300.6404663630463,59992
522.4422375,-301.02950992426685,59892
522.4316185,-301.4185693009678,60063
522.4209995,-301.807644494112,60014
522.4103805,-302.1967355046687,59958
522.3997615,-302.5858423335963,59957
522.3891425,-302.9749649818619,59926
522.3785235,-303.36410345043265,59985
522.3679045,-303.7532577402735,59977
522.3572855,-304.14242785234717,59979
522.3466665,-304.53161378761865,59978
522.3360475,-304.9208155470528,60042
522.3254285,-305.31003313161034,59978
522.3148095,-305.69926654226913,59961
522.3041905,-306.0885157799833,60039
522.2935715,-306.47778084572434,59940
522.2829525,-306.86706174045275,59979
522.2723335,-307.2563584651379,60052
522.2617145,-307.6456710207382,60012
