Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
654.1961865,-381.47201684594467,60204
654.1855675,-381.7201442055107,60174
654.1749485,-381.9682796206121,60241
654.1643295,-382.2164230916393,60288
654.1537105,-382.46457461898683,60180
654.1430915,-382.7127342030472,60223
654.1324725,-382.9609018442086,60162
654.1218535,-383.2090775428656,60270
654.1112345,-383.4572612994129,60210
654.1006155,-383.70545311424297,60259
654.0899965,-383.95365298774396,60210
654.0793775,-384.2018609203127,60184
654.0687585,-384.4500769123395,60240
654.0581395,-384.6983009642168,60234
654.0475205,-384.9465330763371,60080
654.0369015,-385.19477324909514,60249
654.0262825,-385.44302148288324,60209
654.0156635,-385.69127777809183,60174
654.0050445,-385.93954213511336,60238
653.9944255,-386.1878145543425,60150
653.9838065,-386.43609503617165,60202
653.9731875,-386.68438358099337,60230
653.9625685,-386.93268018920224,60165
653.9519495,-387.1809848611865,60177
653.9413305,-387.4292975973408,60209
653.9307115,-387.6776183980597,60220
653.9200925,-387.92594726373784,60214
653.9094735,-388.17428419476346,60228
653.8988545,-388.42262919153114,60187
653.8882355,-388.6709822544356,60191
653.8776165,-388.9193433838649,60211
653.8669975,-389.1677125802181,60190
653.8563785,-389.4160898438876,60178
653.8457595,-389.6644751752616,60234
653.8351405,-389.9128685747391,60185
653.8245215,-390.1612700427082,60161
653.8139025,-390.40967957956144,60186
653.8032835,-390.6580971856977,60176
653.7926645,-390.9065228615075,60181
653.7820455,-391.1549566073852,60196
653.7714265,-391.40339842372134,60226
653.7608075,-391.65184831090613,60229
653.7501885,-391.9003062693408,60244
653.7395695,-392.14877229941555,60213
653.7289505,-392.3972464015229,60207
653.7183315,-392.64572857605543,60149
653.7077125,-392.8942188234077,60136
653.6970935,-393.1427171439722,60192
653.6864745,-393.3912235381436,60247
653.6758555,-393.6397380063165,60193
653.6652365,-393.8882605488813,60161
653.6546175,-394.13679116623473,60113
653.6439985,-394.3853298587672,60173
653.6333795,-394.63387662687325,60112
653.6227605,-394.88243147094755,60194
653.6121415,-395.13099439138267,60151
653.6015225,-395.37956538857316,60178
653.5909035,-395.6281444629137,60115
653.5802845,-395.87673161479466,60220
653.5696655,-396.12532684461064,60210
653.5590465,-396.3739301527584,60262
653.5484275,-396.62254153962834,60192
653.5378085,-396.8711610056173,60133
653.5271895,-397.1197885511155,60232
653.5165705,-397.36842417652196,60168
653.5059515,-397.61706788222267,60219
653.4953325,-397.8657196686188,60174
653.4847135,-398.11437953610067,60178
653.4740945,-398.363047485065,60088
653.4634755,-398.61172351590227,60137
653.4528565,-398.86040762900694,60134
653.4422375,-399.10909982477597,60296
653.4316185,-399.35780010360395,60170
653.4209995,-399.60650846588123,60219
653.4103805,-399.85522491200237,60177
653.3997615,-400.1039494423643,60183
653.3891425,-400.35268205735514,60183
653.3785235,-400.60142275737815,60076
653.3679045,-400.8501715428215,60195
653.3572855,-401.0989284140799,60107
653.3466665,-401.3476933715501,60284
653.3360475,-401.59646641562244,60231
653.3254285,-401.8452475466937,60201
653.3148095,-402.0940367651586,60209
653.3041905,-402.34283407141174,60140
653.2935715,-402.5916394658478,60096
653.2829525,-402.8404529488592,60171
653.2723335,-403.08927452084066,60083
653.2617145,-403.3381041821846,60151
